,STATE/UT,DISTRICT,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault on women with intent to outrage her modesty,Insult to modesty of Women,Cruelty by Husband or his Relatives,Importation of Girls
0,ANDHRA PRADESH,ADILABAD,2001,50,30,16,149,34,175,0
1,ANDHRA PRADESH,ANANTAPUR,2001,23,30,7,118,24,154,0
2,ANDHRA PRADESH,CHITTOOR,2001,27,34,14,112,83,186,0
3,ANDHRA PRADESH,CUDDAPAH,2001,20,20,17,126,38,57,0
4,ANDHRA PRADESH,EAST GODAVARI,2001,23,26,12,109,58,247,0
5,ANDHRA PRADESH,GUNTAKAL RLY.,2001,0,0,0,1,0,0,0
6,ANDHRA PRADESH,GUNTUR,2001,54,51,7,139,129,378,0
7,ANDHRA PRADESH,HYDERABAD CITY,2001,37,39,24,118,27,746,0
8,ANDHRA PRADESH,KARIMNAGAR,2001,56,49,62,414,81,224,0
9,ANDHRA PRADESH,KHAMMAM,2001,47,30,17,180,336,172,0
10,ANDHRA PRADESH,KRISHNA,2001,37,21,10,208,72,265,0
11,ANDHRA PRADESH,KURNOOL,2001,29,47,13,141,107,92,0
12,ANDHRA PRADESH,MAHABOOBNAGAR,2001,59,27,14,176,41,69,0
13,ANDHRA PRADESH,MEDAK,2001,35,20,26,100,25,192,0
14,ANDHRA PRADESH,NALGONDA,2001,35,19,31,188,59,214,0
15,ANDHRA PRADESH,NELLORE,2001,46,80,10,207,228,287,0
16,ANDHRA PRADESH,NIZAMABAD,2001,21,21,19,55,15,228,0
17,ANDHRA PRADESH,PRAKASHAM,2001,19,12,5,140,100,119,0
18,ANDHRA PRADESH,RANGA REDDY,2001,72,83,37,113,55,421,7
19,ANDHRA PRADESH,SECUNDERABAD RLY.,2001,0,0,1,0,1,0,0
20,ANDHRA PRADESH,SRIKAKULAM,2001,8,12,6,38,47,108,0
21,ANDHRA PRADESH,VIJAYAWADA,2001,25,48,2,84,122,520,0
22,ANDHRA PRADESH,VIJAYAWADA RLY.,2001,1,0,0,1,1,0,0
23,ANDHRA PRADESH,VISAKHA RURAL,2001,12,12,3,67,48,99,0
24,ANDHRA PRADESH,VISAKHAPATNAM,2001,13,6,0,33,462,204,0
25,ANDHRA PRADESH,VIZIANAGARAM,2001,8,2,0,40,22,121,0
26,ANDHRA PRADESH,WARANGAL,2001,53,25,52,241,0,165,0
27,ANDHRA PRADESH,WEST GODAVARI,2001,61,21,15,246,56,348,0
28,ANDHRA PRADESH,TOTAL,2001,871,765,420,3544,2271,5791,7
29,ARUNACHAL PRADESH,CHANGLANG,2001,1,2,0,3,0,0,0
30,ARUNACHAL PRADESH,DIBANG VALLEY,2001,2,4,0,4,0,2,0
31,ARUNACHAL PRADESH,KAMENG EAST,2001,2,5,0,5,0,0,0
32,ARUNACHAL PRADESH,KAMENG WEST,2001,0,2,0,0,0,0,0
33,ARUNACHAL PRADESH,LOHIT,2001,2,6,0,8,0,0,0
34,ARUNACHAL PRADESH,PAPUM PARE,2001,9,5,0,6,0,3,0
35,ARUNACHAL PRADESH,SIANG EAST,2001,5,7,0,7,0,2,0
36,ARUNACHAL PRADESH,SIANG UPPER,2001,2,5,0,3,0,0,0
37,ARUNACHAL PRADESH,SIANG WEST,2001,4,10,0,25,2,2,0
38,ARUNACHAL PRADESH,SUBANSIRI LOWER,2001,2,5,0,4,0,0,0
39,ARUNACHAL PRADESH,SUBANSIRI UPPER,2001,2,1,0,8,0,2,0
40,ARUNACHAL PRADESH,TAWANG,2001,1,0,0,5,1,0,0
41,ARUNACHAL PRADESH,TIRAP,2001,1,3,0,0,0,0,0
42,ARUNACHAL PRADESH,TOTAL,2001,33,55,0,78,3,11,0
43,ASSAM,BARPETA,2001,28,88,10,29,0,95,0
44,ASSAM,BONGAIGAON,2001,20,21,1,22,0,26,0
45,ASSAM,C.I.D.,2001,0,0,0,0,0,0,0
46,ASSAM,CACHAR,2001,45,74,7,80,0,216,0
47,ASSAM,DARRANG,2001,48,47,9,56,0,37,0
48,ASSAM,DHEMAJI,2001,42,20,0,26,0,0,0
49,ASSAM,DHUBRI,2001,43,51,5,49,0,111,0
50,ASSAM,DIBRUGARH,2001,35,37,3,41,0,19,0
51,ASSAM,G.R.P.,2001,1,0,0,0,0,0,0
52,ASSAM,GOALPARA,2001,35,35,1,54,0,64,0
53,ASSAM,GOLAGHAT,2001,30,40,0,23,0,26,0
54,ASSAM,GUWAHATI CITY,2001,37,64,5,67,0,98,0
55,ASSAM,HAILAKANDI,2001,24,34,2,27,0,28,0
56,ASSAM,JORHAT,2001,42,28,2,44,0,48,0
57,ASSAM,KAMRUP,2001,21,65,2,42,0,27,0
58,ASSAM,KARBI ANGLONG,2001,5,15,4,5,0,8,0
59,ASSAM,KARIMGANJ,2001,33,8,1,9,0,30,0
60,ASSAM,KOKRAJHAR,2001,14,12,0,37,0,20,0
61,ASSAM,LAKHIMPUR,2001,64,62,0,22,0,93,0
62,ASSAM,MORIGAON,2001,23,37,0,6,0,28,0
63,ASSAM,N.C.HILLS,2001,2,4,0,2,0,7,0
64,ASSAM,NAGAON,2001,51,109,1,113,4,132,0
65,ASSAM,NALBARI,2001,30,27,3,16,0,15,0
66,ASSAM,R.P.O.,2001,3,0,0,0,0,0,0
67,ASSAM,SIBSAGAR,2001,47,64,0,28,0,0,0
68,ASSAM,SONITPUR,2001,53,80,1,43,0,99,0
69,ASSAM,TINSUKIA,2001,41,48,2,9,0,21,0
70,ASSAM,TOTAL,2001,817,1070,59,850,4,1248,0
71,BIHAR,ARARIA,2001,93,13,11,3,0,50,0
72,BIHAR,ARWAL,2001,0,0,7,11,0,14,0
73,BIHAR,AURANGABAD,2001,16,4,33,13,2,19,0
74,BIHAR,BAGAHA,2001,25,6,0,4,0,2,0
75,BIHAR,BANKA,2001,34,10,9,0,0,16,0
76,BIHAR,BEGUSARAI,2001,13,7,21,32,0,21,0
77,BIHAR,BETTIAH,2001,20,23,17,23,0,54,8
78,BIHAR,BHABHUA,2001,10,12,8,7,0,22,0
79,BIHAR,BHAGALPUR,2001,35,9,20,15,0,52,0
80,BIHAR,BHOJPUR,2001,22,13,23,0,4,29,0
81,BIHAR,BUXAR,2001,8,1,15,0,0,0,0
82,BIHAR,DARBHANGA,2001,19,16,37,40,0,34,0
83,BIHAR,GAYA,2001,25,15,26,27,0,24,0
84,BIHAR,GOPALGANJ,2001,13,18,22,0,2,155,0
85,BIHAR,JAMALPUR RLY.,2001,1,0,0,1,0,1,0
86,BIHAR,JAMUI,2001,10,1,16,8,0,15,0
87,BIHAR,JEHANABAD,2001,6,5,25,0,0,4,0
88,BIHAR,KATIHAR,2001,51,20,6,6,0,29,0
89,BIHAR,KATIHAR RLY.,2001,0,1,0,2,0,0,0
90,BIHAR,KHAGARIA,2001,5,6,11,6,0,2,0
91,BIHAR,KISHANGANJ,2001,22,16,4,2,1,39,0
92,BIHAR,LAKHISARAI,2001,10,7,6,12,0,5,0
93,BIHAR,MADHEPURA,2001,11,15,6,3,0,10,0
94,BIHAR,MADHUBANI,2001,13,11,12,41,0,18,0
95,BIHAR,MOTIHARI,2001,44,35,37,3,1,47,0
96,BIHAR,MUNGER,2001,11,15,8,0,0,39,0
97,BIHAR,MUZAFFARPUR,2001,73,25,69,81,0,141,6
98,BIHAR,MUZAFFARPUR RLY.,2001,2,1,0,4,0,1,0
99,BIHAR,NALANDA,2001,40,12,47,14,2,54,0
100,BIHAR,NAUGACHIA,2001,7,9,4,0,0,5,0
101,BIHAR,NAWADAH,2001,15,1,17,7,0,13,1
102,BIHAR,PATNA,2001,27,11,90,47,0,152,39
103,BIHAR,PATNA RLY.,2001,1,1,0,9,0,0,0
104,BIHAR,PURNEA,2001,39,23,8,5,0,22,0
105,BIHAR,ROHTAS,2001,25,18,36,21,0,59,0
106,BIHAR,SAHARSA,2001,12,10,7,9,0,12,0
107,BIHAR,SAMASTIPUR,2001,19,29,11,17,9,35,29
108,BIHAR,SARAN,2001,20,15,67,22,0,101,0
109,BIHAR,SHEIKHPURA,2001,3,1,9,0,0,32,0
110,BIHAR,SHEOHAR,2001,11,7,3,0,0,2,0
111,BIHAR,SITAMARHI,2001,23,20,13,1,0,21,0
112,BIHAR,SIWAN,2001,4,26,32,6,0,10,0
113,BIHAR,SUPAUL,2001,30,2,7,8,0,18,0
114,BIHAR,VAISHALI,2001,20,28,59,52,0,179,0
115,BIHAR,TOTAL,2001,888,518,859,562,21,1558,83
116,CHHATTISGARH,BALRAMPUR,2001,17,1,1,18,0,7,0
117,CHHATTISGARH,BILASPUR,2001,69,20,7,180,10,94,0
118,CHHATTISGARH,BIZAPUR,2001,4,0,0,1,0,0,0
119,CHHATTISGARH,DANTEWARA,2001,19,8,1,18,1,3,0
120,CHHATTISGARH,DHAMTARI,2001,22,4,1,41,5,6,0
121,CHHATTISGARH,DURG,2001,144,42,12,287,38,231,0
122,CHHATTISGARH,GRP RAIPUR,2001,0,0,0,4,0,1,0
123,CHHATTISGARH,JAGDALPUR,2001,59,4,3,49,2,14,0
124,CHHATTISGARH,JANJGIR,2001,29,6,9,110,13,116,0
125,CHHATTISGARH,JASHPUR,2001,36,2,2,41,1,4,0
126,CHHATTISGARH,KANKER,2001,42,4,1,36,3,10,0
127,CHHATTISGARH,KAWARDHA,2001,35,0,1,45,4,15,0
128,CHHATTISGARH,KORBA,2001,46,13,1,90,7,31,0
129,CHHATTISGARH,KORIYA,2001,34,7,3,102,2,31,0
130,CHHATTISGARH,MAHASAMUND,2001,43,7,6,69,6,21,0
131,CHHATTISGARH,RAIGARH,2001,53,6,2,104,5,22,0
132,CHHATTISGARH,RAIPUR,2001,104,28,16,253,42,121,0
133,CHHATTISGARH,RAJNANDGAON,2001,58,3,3,92,12,51,0
134,CHHATTISGARH,SARGUJA,2001,145,16,1,223,10,62,0
135,CHHATTISGARH,TOTAL,2001,959,171,70,1763,161,840,0
136,GOA,NORTH GOA,2001,4,1,2,12,2,6,0
137,GOA,SOUTH GOA,2001,8,5,0,5,5,5,0
138,GOA,TOTAL,2001,12,6,2,17,7,11,0
139,GUJARAT,AHMEDABAD COMMR.,2001,39,117,7,54,27,530,0
140,GUJARAT,AHMEDABAD RURAL,2001,5,27,0,26,0,84,0
141,GUJARAT,AHWA-DANG,2001,1,1,0,2,0,2,0
142,GUJARAT,AMRELI,2001,2,34,2,21,0,94,0
143,GUJARAT,ANAND,2001,3,28,0,27,3,210,0
144,GUJARAT,BHARUCH,2001,4,34,0,19,0,56,0
145,GUJARAT,BHAVNAGAR,2001,9,51,2,36,7,129,0
146,GUJARAT,DAHOD,2001,5,15,0,17,0,11,0
147,GUJARAT,GANDHINAGAR,2001,4,12,3,37,7,116,0
148,GUJARAT,HIMATNAGAR,2001,17,29,4,51,0,165,0
149,GUJARAT,JAMNAGAR,2001,20,22,2,18,2,163,0
150,GUJARAT,JUNAGADH,2001,14,39,11,44,8,384,0
151,GUJARAT,KHEDA NORTH,2001,11,30,0,43,0,122,0
152,GUJARAT,KUTCH,2001,2,22,2,25,1,176,0
153,GUJARAT,MEHSANA,2001,4,49,5,47,1,188,0
154,GUJARAT,NARMADA,2001,8,8,0,7,1,9,0
155,GUJARAT,NAVSARI,2001,2,5,0,6,0,17,0
156,GUJARAT,PALANPUR,2001,18,35,2,50,2,152,0
157,GUJARAT,PANCHMAHAL,2001,5,46,0,1,23,43,0
158,GUJARAT,PATAN,2001,3,21,0,23,0,78,0
159,GUJARAT,PORBANDAR,2001,6,5,0,10,0,64,0
160,GUJARAT,RAJKOT COMMR.,2001,5,38,3,19,12,199,0
161,GUJARAT,RAJKOT RURAL,2001,20,35,2,45,3,206,0
162,GUJARAT,SURAT COMMR.,2001,11,37,20,10,1,132,0
163,GUJARAT,SURAT RURAL,2001,26,16,0,11,0,34,0
164,GUJARAT,SURENDRANAGAR,2001,11,24,2,45,3,75,0
165,GUJARAT,VADODARA COMMR.,2001,3,32,0,11,10,90,0
166,GUJARAT,VADODARA RURAL,2001,18,34,0,34,0,81,0
167,GUJARAT,VALSAD,2001,9,11,0,10,0,50,0
168,GUJARAT,W.RLY,2001,1,0,0,7,0,7,0
169,GUJARAT,TOTAL,2001,286,857,67,756,111,3667,0
170,HARYANA,AMBALA,2001,11,32,11,27,0,132,0
171,HARYANA,BHIWANI,2001,10,7,33,17,0,43,0
172,HARYANA,FARIDABAD,2001,37,53,19,47,242,108,0
173,HARYANA,FATEHABAD,2001,17,13,17,17,0,93,0
174,HARYANA,GRP,2001,0,2,5,1,26,0,0
175,HARYANA,GURGAON,2001,32,32,17,21,21,136,0
176,HARYANA,HISSAR,2001,10,18,24,33,0,117,0
177,HARYANA,JHAJJAR,2001,21,8,20,42,13,122,0
178,HARYANA,JIND,2001,21,8,11,22,29,67,0
179,HARYANA,KAITHAL,2001,16,8,9,19,0,105,0
180,HARYANA,KARNAL,2001,44,10,18,28,2,97,0
181,HARYANA,KURUKSHETRA,2001,31,14,10,28,8,68,0
182,HARYANA,MAHENDRAGARH,2001,11,8,8,19,0,23,0
183,HARYANA,PANCHKULA,2001,6,15,4,23,10,43,0
184,HARYANA,PANIPAT,2001,38,10,11,16,11,92,0
185,HARYANA,REWARI,2001,11,11,12,17,0,14,0
186,HARYANA,ROHTAK,2001,28,6,17,26,20,41,0
187,HARYANA,SIRSA,2001,17,7,12,23,0,98,0
188,HARYANA,SONIPAT,2001,15,12,18,22,14,51,0
189,HARYANA,YAMUNANAGAR,2001,22,23,9,30,5,63,0
190,HARYANA,TOTAL,2001,398,297,285,478,401,1513,0
191,HIMACHAL PRADESH,BILASPUR,2001,5,9,1,35,1,47,0
192,HIMACHAL PRADESH,CHAMBA,2001,12,15,0,23,1,21,0
193,HIMACHAL PRADESH,G.R.P.,2001,0,0,0,0,0,0,0
194,HIMACHAL PRADESH,HAMIRPUR,2001,3,3,1,17,2,33,0
195,HIMACHAL PRADESH,KANGRA,2001,18,21,1,43,0,58,0
196,HIMACHAL PRADESH,KINNAUR,2001,6,3,0,4,0,2,0
