State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
Himachal Pradesh,Sirmore,Paonta Sahib,Banana,Other,NA,23/02/2023,5000,6000,5500
Himachal Pradesh,Sirmore,Paonta Sahib,Capsicum,Other,NA,23/02/2023,2500,4000,3000
Himachal Pradesh,Sirmore,Paonta Sahib,French Beans (Frasbean),Other,NA,23/02/2023,4000,5500,5000
Himachal Pradesh,Sirmore,Paonta Sahib,Kinnow,Other,NA,23/02/2023,4500,6000,5000
Himachal Pradesh,Sirmore,Paonta Sahib,Leafy Vegetable,Other,NA,23/02/2023,1000,NA,1000
Himachal Pradesh,Sirmore,Paonta Sahib,Peas Wet,Other,NA,23/02/2023,1500,2500,2000
Himachal Pradesh,Sirmore,Paonta Sahib,Water Melon,Other,NA,23/02/2023,2000,3000,2500
Himachal Pradesh,Solan,Solan,Banana,Other,NA,23/02/2023,1700,2900,2400
Himachal Pradesh,Solan,Solan,Bitter gourd,Other,NA,23/02/2023,6500,7000,6800
Himachal Pradesh,Solan,Solan,Bottle gourd,Other,NA,23/02/2023,1500,2500,2000
Himachal Pradesh,Solan,Solan,Cabbage,Other,NA,23/02/2023,600,700,600
Himachal Pradesh,Solan,Solan,Cucumbar(Kheera),Other,NA,23/02/2023,2000,4000,3500
Himachal Pradesh,Solan,Solan,Onion,Other,NA,23/02/2023,1000,1500,1200
Himachal Pradesh,Solan,Solan,Orange,Other,NA,23/02/2023,6000,7000,6500
Himachal Pradesh,Una,Una,Banana,Medium,NA,23/02/2023,3600,4100,3800
Himachal Pradesh,Una,Una,Brinjal,Brinjal,NA,23/02/2023,2400,2500,2450
Himachal Pradesh,Una,Una,Carrot,Other,NA,23/02/2023,1500,2000,1750
Himachal Pradesh,Una,Una,French Beans (Frasbean),Other,NA,23/02/2023,4000,4000,4000
Himachal Pradesh,Una,Una,Onion,Onion,NA,23/02/2023,1300,1500,1400
Himachal Pradesh,Una,Una,Pomegranate,Other,NA,23/02/2023,9000,13000,11000
Himachal Pradesh,Una,Una,Pumpkin,Pumpkin,NA,23/02/2023,1300,1600,1450
Jammu and Kashmir,Jammu,Batote,Raddish,Other,NA,23/02/2023,900,1100,1000
Jammu and Kashmir,Jammu,Narwal Jammu (F&V),Banana,Other,NA,23/02/2023,4200,5000,4600
Jammu and Kashmir,Jammu,Narwal Jammu (F&V),Capsicum,Other,NA,23/02/2023,2600,2800,2700
Jammu and Kashmir,Jammu,Narwal Jammu (F&V),Cauliflower,Other,NA,23/02/2023,400,500,450
Jammu and Kashmir,Jammu,Narwal Jammu (F&V),Cucumbar(Kheera),Other,NA,23/02/2023,2200,2400,2300
Jammu and Kashmir,Jammu,Narwal Jammu (F&V),Field Pea,Field Pea,NA,23/02/2023,2400,2600,2500
Jammu and Kashmir,Jammu,Narwal Jammu (F&V),Grapes,Green,NA,23/02/2023,5000,8000,6500
Jammu and Kashmir,Jammu,Narwal Jammu (F&V),Green Chilli,Other,NA,23/02/2023,3400,3600,3500
Jammu and Kashmir,Jammu,Narwal Jammu (F&V),Knool Khol,Other,NA,23/02/2023,400,500,450
Jammu and Kashmir,Jammu,Narwal Jammu (F&V),Mousambi(Sweet Lime),Other,NA,23/02/2023,5500,6000,5750
Jammu and Kashmir,Jammu,Narwal Jammu (F&V),Onion,Other,NA,23/02/2023,1200,1400,1300
Jammu and Kashmir,Jammu,Narwal Jammu (F&V),Pomegranate,Other,NA,23/02/2023,6000,8000,7000
Jammu and Kashmir,Jammu,Narwal Jammu (F&V),Potato,Potato,NA,23/02/2023,600,800,700
Jammu and Kashmir,Jammu,Narwal Jammu (F&V),Tinda,Other,NA,23/02/2023,2000,2200,2100
Jammu and Kashmir,Jammu,Narwal Jammu (F&V),Tomato,Other,NA,23/02/2023,1400,1600,1500
Jammu and Kashmir,Jammu,Narwal Jammu (F&V),Water Melon,Water Melon,NA,23/02/2023,1500,2000,1750
Jammu and Kashmir,Kathua,Kathua,Banana,Other,NA,23/02/2023,4200,4700,4450
Jammu and Kashmir,Kathua,Kathua,Capsicum,Other,NA,23/02/2023,2800,3500,3150
Jammu and Kashmir,Kathua,Kathua,Cauliflower,Other,NA,23/02/2023,300,600,450
Jammu and Kashmir,Kathua,Kathua,Coriander(Leaves),Coriander,NA,23/02/2023,1800,2200,2000
Jammu and Kashmir,Kathua,Kathua,Ginger(Green),Green Ginger,NA,23/02/2023,4000,5000,4500
Jammu and Kashmir,Kathua,Kathua,Lemon,Other,NA,23/02/2023,5500,7000,6250
Jammu and Kashmir,Kathua,Kathua,Onion,Other,NA,23/02/2023,1200,1400,1300
Jammu and Kashmir,Kathua,Kathua,Pumpkin,Other,NA,23/02/2023,2000,2500,2250
Jammu and Kashmir,Kathua,Kathua,Turnip,Turnip,NA,23/02/2023,300,400,350
Jammu and Kashmir,Srinagar,Parimpore,Apple,Delicious,NA,23/02/2023,7500,8000,7800
Jammu and Kashmir,Srinagar,Parimpore,Bottle gourd,Other,NA,23/02/2023,3000,3500,3200
Jammu and Kashmir,Srinagar,Parimpore,Orange,Other,NA,23/02/2023,7200,7600,7400
Jammu and Kashmir,Srinagar,Parimpore,Pomegranate,Other,NA,23/02/2023,10000,14000,12000
Jammu and Kashmir,Srinagar,Parimpore,Tomato,Other,NA,23/02/2023,2000,2200,2100
Jammu and Kashmir,Udhampur,Udhampur,Banana,Banana - Ripe,NA,23/02/2023,3700,4000,3850
Karnataka,Bagalkot,Bagalakot,Arhar (Tur/Red Gram)(Whole),Arhar (Whole),NA,23/02/2023,6009,7259,6735
Karnataka,Bagalkot,Bagalakot,Bajra(Pearl Millet/Cumbu),Hybrid,NA,23/02/2023,2095,2095,2095
Gujarat,Porbandar,Porbandar,Coriander(Leaves),Coriander,NA,23/02/2023,1000,1500,1250
Gujarat,Porbandar,Porbandar,Green Chilli,Green Chilly,NA,23/02/2023,2000,2500,2250
Gujarat,Porbandar,Porbandar,Green Gram (Moong)(Whole),Green (Whole),NA,23/02/2023,7950,7950,7950
Gujarat,Porbandar,Porbandar,Groundnut,Bold,NA,23/02/2023,5700,7150,6425
Gujarat,Porbandar,Porbandar,Lemon,Lemon,NA,23/02/2023,7000,8000,7500
Gujarat,Rajkot,Dhoraji,Corriander seed,Full Green,NA,23/02/2023,5605,6005,5880
Gujarat,Rajkot,Jasdan,Beans,Other,NA,23/02/2023,10000,13000,11250
Gujarat,Rajkot,Jasdan,Mustard,Mustard,NA,23/02/2023,4125,5000,4625
Gujarat,Rajkot,Jasdan,"Sesamum(Sesame,Gingelly,Til)",White,NA,23/02/2023,10000,15275,13500
Gujarat,Rajkot,Jasdan,Wheat,2189 No. 1,NA,23/02/2023,1900,2400,2125
Gujarat,Rajkot,Jasdan,Wheat,2189 No. 2,NA,23/02/2023,1950,2750,2250
Gujarat,Rajkot,Rajkot,Bajra(Pearl Millet/Cumbu),Deshi,NA,23/02/2023,1475,2575,2000
